Instancia,Algoritmo,Tempo de execucao (s),Uso de memoria (MB),Solucao
pcb1173.tsp, twice_around_tree, 6.6502299308776855,  240.703125,  80761.0
pcb1173.tsp, christofides, 48.12723779678345,  254.109375,  63767.0
d1291.tsp, twice_around_tree, 10.804388046264648,  286.22265625,  75282.0
d1291.tsp, christofides, 20.933788299560547,  288.6953125,  57655.0
rl1304.tsp, twice_around_tree, 8.902010202407837,  308.93359375,  348309.0
rl1304.tsp, christofides, 26.70361328125,  310.359375,  277037.0
rl1323.tsp, twice_around_tree, 9.0702805519104,  321.328125,  380427.0
rl1323.tsp, christofides, 21.320290088653564,  323.7265625,  298272.0
nrw1379.tsp, twice_around_tree, 12.17990493774414,  387.91015625,  79188.0
nrw1379.tsp, christofides, 147.08468198776245,  408.94140625,  63703.0
fl1400.tsp, twice_around_tree, 9.554164171218872,  406.8671875,  28022.0
fl1400.tsp, christofides, 159.67664456367493,  455.27734375,  23005.0
u1432.tsp, twice_around_tree, 10.13672947883606,  389.0703125,  214417.0
u1432.tsp, christofides, 79.75553107261658,  416.734375,  171469.0
fl1577.tsp, twice_around_tree, 13.593971729278564,  411.22265625,  30257.0
fl1577.tsp, christofides, 43.961637020111084,  470.3203125,  24606.0
d1655.tsp, twice_around_tree, 17.302374839782715,  500.265625,  85285.0
d1655.tsp, christofides, 100.83222818374634,  526.33984375,  69721.0
vm1748.tsp, twice_around_tree, 16.593135595321655,  579.80859375,  442756.0
vm1748.tsp, christofides, 147.69261121749878,  586.78125,  376275.0
u1817.tsp, twice_around_tree, 18.07183599472046,  593.484375,  82013.0
u1817.tsp, christofides, 97.65887260437012,  612.5078125,  66125.0
rl1889.tsp, twice_around_tree, 26.652684926986694,  668.30859375,  448611.0
rl1889.tsp, christofides, 74.67782020568848,  613.1875,  344580.0
d2103.tsp, twice_around_tree, 27.273663997650146,  775.50390625,  123086.0
d2103.tsp, christofides, 28.196170330047607,  776.41796875,  84209.0
u2152.tsp, twice_around_tree, 26.22672414779663,  808.703125,  93801.0
u2152.tsp, christofides, 161.7704141139984,  834.78125,  72407.0
u2319.tsp, twice_around_tree, 34.15794062614441,  911.046875,  320506.0
u2319.tsp, christofides,622.4770214557648,  1110.125,  271669.0
pr2392.tsp, twice_around_tree, 33.71323609352112,  970.19921875,  523107.0
pr2392.tsp, christofides,546.4919443130493,  1068.984375,  425940.0
pcb3038.tsp, twice_around_tree, 57.61431169509888,  1716.32421875,  197498.0
pcb3038.tsp, christofides,900.7297370433807,  1819.69140625,  154670.0
fl3795.tsp, twice_around_tree, 104.85132050514221,  2025.52734375,  36256.0
fl3795.tsp, christofides,1525.8957216739655,  1906.484375,  31935.0
fnl4461.tsp, twice_around_tree, 153.94323134422302,  2503.9140625,  255829.0
fnl4461.tsp, christofides, Timeout, 1, 0
rl5915.tsp, twice_around_tree,613.1415395736694,  3022.94140625,  842903.0
rl5934.tsp, twice_around_tree,644.7716906070709,  3668.9570312,  817449.0
rl11849.tsp, twice_around_tree, Timeout, 1, 0
